,id,shippingname,postcodes,rulename,rules,change,price
0,26202,AU Wide Brisbane,"4019, 4020, 4021, 4022, 4037, 4055, 4069, 4070, 4124, 4125, 4130, 4133, 4165, 4205, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4218, 4219, 4220, 4221, 4222, 4223, 4224, 4225, 4226, 4227, 4229, 4230, 4270, 4271, 4272, 4275, 4280, 4285, 4300, 4301, 4303, 4304, 4305, 4306, 4307, 4309, 4310, 4311, 4340, 4341, 4342, 4343, 4344, 4345, 4346, 4347, 4350, 4352, 4355, 4358, 4359, 4360, 4361, 4362, 4363, 4364, 4370, 4375, 4377, 4378, 4380, 4381, 4383, 4390, 4401, 4402, 4405, 4411, 4412, 4413, 4415, 4417, 4454, 4455, 4486, 4487, 4496, 4497, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4517, 4518, 4519, 4520, 4521, 4550, 4551, 4552, 4553, 4555, 4556, 4557, 4558, 4559, 4560, 4561, 4562, 4563, 4564, 4565, 4566, 4567, 4568, 4570, 4572, 4573, 4574, 4605, 4606, 4610, 4614, 4615, 4650, 4655, 4670, 4680, 4700, 4701, 4703, 4709, 4715, 4716, 4717, 4718, 4719, 4720, 4721, 4722, 4723, 4730, 4740, 4741, 4744, 4746, 4750, 4800, 4802, 4803, 4805, 4806, 4807, 4810, 4811, 4812, 4813, 4814, 4815, 4816, 4817, 4818, 4820, 4849, 4850, 4852, 4854, 4855, 4857, 4858, 4859, 4860, 4861, 4865, 4868, 4869, 4870, 4873, 4874, 4875, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4885, 4886, 4500",AU Wide Brisbane,"
        
          All orders 
        
      ",,$14.95
1,26202,AU Wide Brisbane,"4019, 4020, 4021, 4022, 4037, 4055, 4069, 4070, 4124, 4125, 4130, 4133, 4165, 4205, 4207, 4208, 4209, 4210, 4211, 4212, 4213, 4214, 4215, 4216, 4217, 4218, 4219, 4220, 4221, 4222, 4223, 4224, 4225, 4226, 4227, 4229, 4230, 4270, 4271, 4272, 4275, 4280, 4285, 4300, 4301, 4303, 4304, 4305, 4306, 4307, 4309, 4310, 4311, 4340, 4341, 4342, 4343, 4344, 4345, 4346, 4347, 4350, 4352, 4355, 4358, 4359, 4360, 4361, 4362, 4363, 4364, 4370, 4375, 4377, 4378, 4380, 4381, 4383, 4390, 4401, 4402, 4405, 4411, 4412, 4413, 4415, 4417, 4454, 4455, 4486, 4487, 4496, 4497, 4501, 4502, 4503, 4504, 4505, 4506, 4507, 4508, 4509, 4510, 4511, 4517, 4518, 4519, 4520, 4521, 4550, 4551, 4552, 4553, 4555, 4556, 4557, 4558, 4559, 4560, 4561, 4562, 4563, 4564, 4565, 4566, 4567, 4568, 4570, 4572, 4573, 4574, 4605, 4606, 4610, 4614, 4615, 4650, 4655, 4670, 4680, 4700, 4701, 4703, 4709, 4715, 4716, 4717, 4718, 4719, 4720, 4721, 4722, 4723, 4730, 4740, 4741, 4744, 4746, 4750, 4800, 4802, 4803, 4805, 4806, 4807, 4810, 4811, 4812, 4813, 4814, 4815, 4816, 4817, 4818, 4820, 4849, 4850, 4852, 4854, 4855, 4857, 4858, 4859, 4860, 4861, 4865, 4868, 4869, 4870, 4873, 4874, 4875, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4885, 4886, 4500",AU Wide Brisbane,Classic 12 Bright Pink Roses Gift Box,,
